SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,H2
2.46E+06,7.27E+07,289.5,1774,0.5,0,0.2
2.38E+06,7.53E+07,289.5,1761,0.5,0,0.2
2.42E+06,7.27E+07,289.5,1710,0.5,0,0.2
2.30E+06,7.15E+07,289.5,1778,0.5,0,0.2
2.43E+06,6.94E+07,289.5,1797,0.5,0,0.2
2.61E+06,7.02E+07,289.5,1805,0.5,0,0.2
2.55E+06,7.39E+07,289.5,1770,0.5,0,0.2
2.41E+06,6.86E+07,289.5,1772,0.5,0,0.2
2.47E+06,7.58E+07,289.5,1706,0.5,0,0.2
2.51E+06,7.97E+07,289.5,1674,0.5,0,0.2
2.35E+06,7.93E+07,289.5,1734,0.5,0,0.2
2.37E+06,7.63E+07,289.5,1944,0.5,0,0.2
2.97E+06,9.50E+07,289.5,2205,0.5,0,0.2
3.42E+06,1.22E+08,289.5,2486,0.5,0,0.2
3.60E+06,1.31E+08,289.5,2865,0.5,0,0.2
4.16E+06,1.56E+08,289.5,3083,0.5,0,0.2
4.55E+06,1.66E+08,289.5,3330,0.5,0,0.2
5.23E+06,1.76E+08,289.5,3562,0.5,0,0.2
5.80E+06,2.07E+08,289.5,3814,0.5,0,0.2
6.44E+06,2.37E+08,289.5,4043,0.5,0,0.2
6.65E+06,2.51E+08,289.5,4255,0.5,0,0.2
6.95E+06,2.68E+08,289.5,4509,0.5,0,0.2
7.59E+06,2.80E+08,289.5,4632,0.5,0,0.2
8.06E+06,2.92E+08,289.5,4865,0.5,0,0.2
8.45E+06,3.10E+08,289.5,5037,0.5,0,0.2
8.91E+06,3.39E+08,289.5,5162,0.5,0,0.2
8.89E+06,3.33E+08,289.5,5317,0.5,0,0.2
9.45E+06,3.47E+08,289.5,5408,0.5,0,0.2
9.74E+06,3.61E+08,289.5,5488,0.5,0,0.2
1.02E+07,3.91E+08,289.5,5646,0.5,0,0.2
1.04E+07,4.11E+08,289.5,5708,0.5,0,0.2
1.05E+07,4.08E+08,289.5,5691,0.5,0,0.2
1.05E+07,4.21E+08,289.5,5709,0.5,0,0.2
1.07E+07,4.44E+08,289.5,5617,0.5,0,0.2
1.09E+07,4.27E+08,289.5,5678,0.5,0,0.2
1.11E+07,4.36E+08,289.5,5751,0.5,0,0.2
1.09E+07,4.35E+08,289.5,5587,0.5,0,0.2
1.09E+07,4.25E+08,289.5,5642,0.5,0,0.2
1.08E+07,4.24E+08,289.5,5802,0.5,0,0.2
1.11E+07,4.39E+08,289.5,5559,0.5,0,0.2
1.11E+07,4.28E+08,289.5,5647,0.5,0,0.2
1.09E+07,4.30E+08,289.5,5775,0.5,0,0.2
1.11E+07,4.36E+08,289.5,5839,0.5,0,0.2
1.13E+07,4.30E+08,289.5,5923,0.5,0,0.2
1.15E+07,4.43E+08,289.5,5723,0.5,0,0.2
1.15E+07,4.50E+08,289.5,5571,0.5,0,0.2
1.13E+07,4.53E+08,289.5,5554,0.5,0,0.2
1.12E+07,4.61E+08,289.5,5548,0.5,0,0.2
1.11E+07,4.49E+08,289.5,5440,0.5,0,0.2
1.07E+07,4.38E+08,289.5,5587,0.5,0,0.2
1.03E+07,4.12E+08,289.5,5863,0.5,0,0.2
1.07E+07,4.08E+08,289.5,5945,0.5,0,0.2
1.12E+07,4.34E+08,289.5,5988,0.5,0,0.2
1.15E+07,4.45E+08,289.5,5756,0.5,0,0.2
1.18E+07,4.53E+08,289.5,5655,0.5,0,0.2
1.16E+07,4.66E+08,289.5,5667,0.5,0,0.2
1.14E+07,4.67E+08,289.5,5634,0.5,0,0.2
1.09E+07,4.79E+08,289.5,5556,0.5,0,0.2
1.06E+07,4.21E+08,289.5,5672,0.5,0,0.2
1.08E+07,4.22E+08,289.5,5715,0.5,0,0.2
1.09E+07,4.17E+08,289.5,5763,0.5,0,0.2
1.10E+07,4.18E+08,289.5,5819,0.5,0,0.2
1.13E+07,4.25E+08,289.5,5884,0.5,0,0.2
1.15E+07,4.47E+08,289.5,5667,0.5,0,0.2
1.12E+07,4.52E+08,289.5,5554,0.5,0,0.2
1.10E+07,4.44E+08,289.5,5447,0.5,0,0.2
1.10E+07,4.44E+08,289.5,5505,0.5,0,0.2
1.07E+07,4.46E+08,289.5,5436,0.5,0,0.2
1.08E+07,4.19E+08,289.5,5617,0.5,0,0.2
1.05E+07,4.05E+08,289.5,5651,0.5,0,0.2
1.09E+07,4.20E+08,289.5,5759,0.5,0,0.2
1.12E+07,4.37E+08,289.5,5623,0.5,0,0.2
1.10E+07,4.43E+08,289.5,5710,0.5,0,0.2
1.10E+07,4.36E+08,289.5,5369,0.5,0,0.2
1.07E+07,4.41E+08,289.5,5324,0.5,0,0.2
1.05E+07,4.44E+08,289.5,5526,0.5,0,0.2
1.05E+07,4.35E+08,289.5,5677,0.5,0,0.2
1.07E+07,4.51E+08,289.5,5588,0.5,0,0.2
1.09E+07,4.54E+08,289.5,5539,0.5,0,0.2
1.09E+07,4.32E+08,289.5,5619,0.5,0,0.2
