SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Epoch
3.12E+07,2.08E+08,480.67,3126,0.2,0,1
3.20E+07,2.09E+08,480.67,3108,0.2,0,1
3.20E+07,2.09E+08,480.67,3046,0.2,0,1
3.13E+07,2.09E+08,480.67,3128,0.2,0,1
3.19E+07,2.17E+08,480.67,3114,0.2,0,1
3.18E+07,2.20E+08,480.67,3066,0.2,0,1
3.17E+07,2.19E+08,480.67,3095,0.2,0,1
3.12E+07,2.17E+08,480.67,2668,0.2,0,1
2.55E+07,1.72E+08,480.67,2611,0.2,0,1
2.24E+07,1.43E+08,480.67,2625,0.2,0,1
2.07E+07,1.20E+08,480.67,2607,0.2,0,1
2.08E+07,1.13E+08,480.67,2489,0.2,0,1
2.06E+07,1.03E+08,480.67,2398,0.2,0,1
1.97E+07,1.07E+08,480.67,2425,0.2,0,1
1.89E+07,1.08E+08,480.67,2483,0.2,0,1
1.89E+07,1.01E+08,480.67,2428,0.2,0,1
1.90E+07,9.82E+07,480.67,2399,0.2,0,1
1.88E+07,9.32E+07,480.67,2410,0.2,0,1
1.83E+07,9.60E+07,480.67,2378,0.2,0,1
1.81E+07,9.35E+07,480.67,2427,0.2,0,1
1.82E+07,9.96E+07,480.67,2441,0.2,0,1
1.83E+07,9.95E+07,480.67,2456,0.2,0,1
1.87E+07,1.05E+08,480.67,2429,0.2,0,1
1.82E+07,1.02E+08,480.67,2393,0.2,0,1
1.84E+07,1.09E+08,480.67,2448,0.2,0,1
1.85E+07,1.04E+08,480.67,2441,0.2,0,1
