SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Epoch
3.06E+06,2.18E+08,259.67,3143,0.2,0,1
3.09E+06,2.17E+08,259.67,3047,0.2,0,1
3.06E+06,2.13E+08,259.67,3119,0.2,0,1
3.21E+06,2.08E+08,259.67,3041,0.2,0,1
3.14E+06,2.01E+08,259.67,3046,0.2,0,1
3.14E+06,2.06E+08,259.67,2997,0.2,0,1
3.07E+06,1.92E+08,259.67,3090,0.2,0,1
3.15E+06,2.08E+08,259.67,3134,0.2,0,1
3.05E+06,2.00E+08,259.67,3099,0.2,0,1
3.08E+06,1.94E+08,259.67,3181,0.2,0,1
3.23E+06,2.05E+08,259.67,3130,0.2,0,1
3.29E+06,2.16E+08,259.67,3064,0.2,0,1
3.18E+06,2.11E+08,259.67,3138,0.2,0,1
3.19E+06,2.09E+08,259.67,3082,0.2,0,1
3.20E+06,2.01E+08,259.67,3120,0.2,0,1
3.16E+06,1.95E+08,259.67,3173,0.2,0,1
3.16E+06,2.02E+08,259.67,3157,0.2,0,1
3.25E+06,2.07E+08,259.67,3064,0.2,0,1
3.18E+06,2.07E+08,259.67,3051,0.2,0,1
3.10E+06,2.01E+08,259.67,3060,0.2,0,1
3.08E+06,2.11E+08,259.67,3057,0.2,0,1
3.02E+06,2.07E+08,259.67,3056,0.2,0,1
3.12E+06,1.97E+08,259.67,3072,0.2,0,1
3.14E+06,2.18E+08,259.67,3068,0.2,0,1
3.21E+06,2.19E+08,259.67,3138,0.2,0,1
3.29E+06,2.15E+08,259.67,3167,0.2,0,1
3.28E+06,2.13E+08,259.67,3154,0.2,0,1
3.26E+06,2.27E+08,259.67,3114,0.2,0,1
3.11E+06,2.11E+08,259.67,3131,0.2,0,1
3.19E+06,2.15E+08,259.67,3147,0.2,0,1
3.19E+06,2.17E+08,259.67,3161,0.2,0,1
3.17E+06,2.03E+08,259.67,3115,0.2,0,1
3.11E+06,2.06E+08,259.67,3044,0.2,0,1
3.12E+06,2.14E+08,259.67,3055,0.2,0,1
3.13E+06,2.03E+08,259.67,3132,0.2,0,1
3.27E+06,2.12E+08,259.67,3064,0.2,0,1
3.20E+06,2.02E+08,259.67,3154,0.2,0,1
3.13E+06,2.07E+08,259.67,3203,0.2,0,1
3.33E+06,2.20E+08,259.67,3099,0.2,0,1
3.26E+06,2.12E+08,259.67,3131,0.2,0,1
3.24E+06,2.13E+08,259.67,3028,0.2,0,1
3.11E+06,2.07E+08,259.67,3037,0.2,0,1
3.04E+06,1.99E+08,259.67,3046,0.2,0,1
3.05E+06,1.92E+08,259.67,3048,0.2,0,1
3.06E+06,1.91E+08,259.67,3106,0.2,0,1
3.18E+06,2.02E+08,259.67,2878,0.2,0,1
2.75E+06,1.75E+08,259.67,2754,0.2,0,1
2.50E+06,1.47E+08,259.67,2605,0.2,0,1
2.31E+06,1.26E+08,259.67,2500,0.2,0,1
2.19E+06,1.29E+08,259.67,2493,0.2,0,1
2.17E+06,1.28E+08,259.67,2513,0.2,0,1
2.10E+06,1.12E+08,259.67,2521,0.2,0,1
2.17E+06,1.25E+08,259.67,2522,0.2,0,1
2.14E+06,1.26E+08,259.67,2566,0.2,0,1
2.09E+06,1.29E+08,259.67,2542,0.2,0,1
2.10E+06,1.26E+08,259.67,2580,0.2,0,1
2.07E+06,1.14E+08,259.67,2556,0.2,0,1
2.14E+06,1.09E+08,259.67,2459,0.2,0,1
2.11E+06,1.12E+08,259.67,2497,0.2,0,1
2.05E+06,1.12E+08,259.67,2546,0.2,0,1
2.02E+06,1.05E+08,259.67,2497,0.2,0,1
2.04E+06,1.11E+08,259.67,2507,0.2,0,1
