Ybirth,Pi,Ps,growth,Gi,Gd,l,age_mat,Lp50,Finput,CVg
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,270.04,1,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,270.04,1,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,270.04,1,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,270.04,1,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,270.04,1,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,270.04,1,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,358.75,2,153.6,0.2,0
146,-7.68,0.05,119,0.6,0.65,270.04,1,153.6,0.2,0
