SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg
33783,9.46E+06,73.824,1801,0.2,0
34218,9.39E+06,73.824,1827,0.2,0
36271,9.58E+06,73.824,1830,0.2,0
35637,1.03E+07,73.824,1805,0.2,0
36229,9.77E+06,73.824,1803,0.2,0
35865,9.88E+06,73.824,1768,0.2,0
34851,9.43E+06,73.824,1770,0.2,0
35221,9.34E+06,73.824,1796,0.2,0
35122,9.96E+06,73.824,1850,0.2,0
35361,1.01E+07,73.824,1736,0.2,0
35559,9.52E+06,73.824,1748,0.2,0
34160,1.03E+07,73.824,1770,0.2,0
36346,1.01E+07,73.824,1770,0.2,0
35156,9.55E+06,73.824,1754,0.2,0
34595,9.46E+06,73.824,1809,0.2,0
36196,9.52E+06,73.824,1861,0.2,0
36787,1.03E+07,73.824,1754,0.2,0
36746,1.03E+07,73.824,1696,0.2,0
34063,9.89E+06,73.824,1808,0.2,0
33756,9.50E+06,73.824,1773,0.2,0
35873,9.45E+06,73.824,1794,0.2,0
36250,9.55E+06,73.824,1806,0.2,0
34951,9.61E+06,73.824,1770,0.2,0
34728,9.45E+06,73.824,1805,0.2,0
35421,1.01E+07,73.824,1684,0.2,0
35445,9.49E+06,73.824,1695,0.2,0
33123,9.80E+06,73.824,1749,0.2,0
33437,9.61E+06,73.824,1820,0.2,0
35752,8.98E+06,73.824,1690,0.2,0
33591,8.46E+06,73.824,1551,0.2,0
28815,7.66E+06,73.824,1459,0.2,0
27139,7.25E+06,73.824,1400,0.2,0
25231,6.57E+06,73.824,1452,0.2,0
26658,6.26E+06,73.824,1452,0.2,0
26956,6.35E+06,73.824,1451,0.2,0
25784,6.10E+06,73.824,1431,0.2,0
26557,6.00E+06,73.824,1454,0.2,0
25617,5.98E+06,73.824,1439,0.2,0
24101,5.70E+06,73.824,1439,0.2,0
26574,6.03E+06,73.824,1417,0.2,0
25073,5.91E+06,73.824,1451,0.2,0
24291,5.85E+06,73.824,1423,0.2,0
24823,6.46E+06,73.824,1468,0.2,0
26625,6.57E+06,73.824,1476,0.2,0
25654,6.37E+06,73.824,1472,0.2,0
26448,5.97E+06,73.824,1447,0.2,0
25663,6.10E+06,73.824,1480,0.2,0
25754,5.90E+06,73.824,1418,0.2,0
25958,5.55E+06,73.824,1414,0.2,0
24304,5.67E+06,73.824,1375,0.2,0
24680,5.55E+06,73.824,1390,0.2,0
24956,6.27E+06,73.824,1454,0.2,0
26449,6.53E+06,73.824,1476,0.2,0
25204,6.26E+06,73.824,1488,0.2,0
26447,5.90E+06,73.824,1434,0.2,0
26651,6.63E+06,73.824,1525,0.2,0
26105,6.54E+06,73.824,1493,0.2,0
26720,6.34E+06,73.824,1490,0.2,0
26052,6.50E+06,73.824,1470,0.2,0
