SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Gamma
2.97E+07,2.02E+08,480.67,2998,0.5,0,0.52
2.99E+07,1.99E+08,480.67,3072,0.5,0,0.52
3.05E+07,2.04E+08,480.67,3081,0.5,0,0.52
3.08E+07,2.01E+08,480.67,3069,0.5,0,0.52
3.05E+07,2.01E+08,480.67,3019,0.5,0,0.52
3.09E+07,1.97E+08,480.67,3152,0.5,0,0.52
3.09E+07,1.94E+08,480.67,3298,0.5,0,0.52
3.14E+07,1.99E+08,480.67,3366,0.5,0,0.52
3.21E+07,2.00E+08,480.67,3259,0.5,0,0.52
3.27E+07,2.05E+08,480.67,3192,0.5,0,0.52
3.32E+07,2.13E+08,480.67,3121,0.5,0,0.52
3.24E+07,2.09E+08,480.67,3156,0.5,0,0.52
3.21E+07,2.11E+08,480.67,3187,0.5,0,0.52
3.18E+07,2.14E+08,480.67,3153,0.5,0,0.52
3.14E+07,2.14E+08,480.67,3160,0.5,0,0.52
3.13E+07,2.08E+08,480.67,3136,0.5,0,0.52
3.18E+07,2.07E+08,480.67,3166,0.5,0,0.52
3.18E+07,2.08E+08,480.67,3150,0.5,0,0.52
3.23E+07,2.05E+08,480.67,3146,0.5,0,0.52
3.25E+07,2.08E+08,480.67,3111,0.5,0,0.52
3.25E+07,2.18E+08,480.67,3155,0.5,0,0.52
3.23E+07,2.15E+08,480.67,3126,0.5,0,0.52
3.15E+07,2.07E+08,480.67,3113,0.5,0,0.52
3.14E+07,2.02E+08,480.67,3073,0.5,0,0.52
3.15E+07,2.07E+08,480.67,3094,0.5,0,0.52
3.17E+07,2.13E+08,480.67,3046,0.5,0,0.52
3.10E+07,2.13E+08,480.67,3023,0.5,0,0.52
3.02E+07,2.05E+08,480.67,3002,0.5,0,0.52
3.06E+07,2.02E+08,480.67,3210,0.5,0,0.52
3.05E+07,2.12E+08,480.67,3141,0.5,0,0.52
3.11E+07,2.03E+08,480.67,3174,0.5,0,0.52
3.23E+07,2.11E+08,480.67,3085,0.5,0,0.52
3.18E+07,2.18E+08,480.67,3102,0.5,0,0.52
3.14E+07,2.22E+08,480.67,3098,0.5,0,0.52
3.25E+07,2.26E+08,480.67,3102,0.5,0,0.52
3.24E+07,2.37E+08,480.67,3176,0.5,0,0.52
3.20E+07,2.32E+08,480.67,3200,0.5,0,0.52
3.21E+07,2.29E+08,480.67,3218,0.5,0,0.52
3.18E+07,2.25E+08,480.67,3151,0.5,0,0.52
3.16E+07,2.21E+08,480.67,3076,0.5,0,0.52
3.19E+07,2.18E+08,480.67,3111,0.5,0,0.52
3.13E+07,2.16E+08,480.67,3091,0.5,0,0.52
3.10E+07,2.11E+08,480.67,3110,0.5,0,0.52
3.12E+07,2.18E+08,480.67,3133,0.5,0,0.52
3.13E+07,2.16E+08,480.67,3138,0.5,0,0.52
3.15E+07,2.19E+08,480.67,3069,0.5,0,0.52
3.14E+07,2.17E+08,480.67,3027,0.5,0,0.52
3.12E+07,2.06E+08,480.67,3009,0.5,0,0.52
3.13E+07,2.10E+08,480.67,3059,0.5,0,0.52
3.15E+07,2.10E+08,480.67,3045,0.5,0,0.52
3.05E+07,2.11E+08,480.67,2999,0.5,0,0.52
2.99E+07,2.00E+08,480.67,3008,0.5,0,0.52
2.98E+07,1.99E+08,480.67,3078,0.5,0,0.52
3.05E+07,1.98E+08,480.67,3217,0.5,0,0.52
3.08E+07,2.07E+08,480.67,3221,0.5,0,0.52
3.20E+07,2.11E+08,480.67,3182,0.5,0,0.52
3.21E+07,2.10E+08,480.67,3159,0.5,0,0.52
3.25E+07,2.12E+08,480.67,3136,0.5,0,0.52
3.26E+07,2.15E+08,480.67,3085,0.5,0,0.52
3.20E+07,2.18E+08,480.67,3085,0.5,0,0.52
3.22E+07,2.12E+08,480.67,3108,0.5,0,0.52
3.21E+07,2.14E+08,480.67,3150,0.5,0,0.52
3.26E+07,2.15E+08,480.67,3086,0.5,0,0.52
3.19E+07,2.14E+08,480.67,3075,0.5,0,0.52
3.22E+07,2.21E+08,480.67,3095,0.5,0,0.52
3.21E+07,2.17E+08,480.67,3051,0.5,0,0.52
3.20E+07,2.13E+08,480.67,3075,0.5,0,0.52
3.09E+07,2.03E+08,480.67,3079,0.5,0,0.52
3.13E+07,2.03E+08,480.67,3088,0.5,0,0.52
3.15E+07,2.06E+08,480.67,3051,0.5,0,0.52
