SumBiomass,Lp50_pop,age_mat_pop,num_pop,Finput,CVg,Gamma
1.59E+06,238.67,1.8672,2478,0.5,0,0.52
1.58E+06,238.67,1.8508,2424,0.5,0,0.52
1.55E+06,238.67,1.8425,2484,0.5,0,0.52
1.58E+06,238.67,1.8423,2539,0.5,0,0.52
1.61E+06,238.67,1.8712,2516,0.5,0,0.52
1.61E+06,238.67,1.8595,2487,0.5,0,0.52
1.59E+06,238.67,1.8578,2475,0.5,0,0.52
1.57E+06,238.67,1.8551,2585,0.5,0,0.52
1.60E+06,238.67,1.8625,2600,0.5,0,0.52
1.69E+06,238.67,1.8649,2541,0.5,0,0.52
1.62E+06,238.67,1.8666,2548,0.5,0,0.52
1.62E+06,238.67,1.8725,2492,0.5,0,0.52
1.63E+06,238.67,1.8668,2535,0.5,0,0.52
1.66E+06,238.67,1.8504,2589,0.5,0,0.52
1.60E+06,238.67,1.8811,2519,0.5,0,0.52
1.64E+06,238.67,1.8739,2500,0.5,0,0.52
1.62E+06,238.67,1.8821,2566,0.5,0,0.52
1.64E+06,238.67,1.8788,2582,0.5,0,0.52
1.66E+06,238.67,1.878,2500,0.5,0,0.52
1.63E+06,238.67,1.8819,2499,0.5,0,0.52
1.64E+06,238.67,1.8671,2534,0.5,0,0.52
1.62E+06,238.67,1.8552,2487,0.5,0,0.52
1.60E+06,238.67,1.8769,2525,0.5,0,0.52
1.64E+06,238.67,1.8787,2567,0.5,0,0.52
1.65E+06,238.67,1.8691,2517,0.5,0,0.52
1.62E+06,238.67,1.8805,2405,0.5,0,0.52
1.62E+06,238.67,1.8805,2391,0.5,0,0.52
1.57E+06,238.67,1.8707,2439,0.5,0,0.52
1.55E+06,238.67,1.8734,2446,0.5,0,0.52
1.55E+06,238.67,1.8764,2686,0.5,0,0.52
2.02E+06,238.67,1.9188,2975,0.5,0,0.52
2.35E+06,238.67,1.9415,3087,0.5,0,0.52
2.56E+06,238.67,1.9602,3208,0.5,0,0.52
2.80E+06,238.67,1.9753,3341,0.5,0,0.52
2.98E+06,238.67,1.9831,3287,0.5,0,0.52
3.08E+06,238.67,1.9888,3286,0.5,0,0.52
3.10E+06,238.67,1.9737,3378,0.5,0,0.52
3.14E+06,238.67,1.9714,3343,0.5,0,0.52
3.29E+06,238.67,1.9644,3280,0.5,0,0.52
3.30E+06,238.67,1.9415,3237,0.5,0,0.52
3.29E+06,238.67,1.9379,3238,0.5,0,0.52
3.32E+06,238.67,1.9411,3194,0.5,0,0.52
3.35E+06,238.67,1.922,3239,0.5,0,0.52
3.35E+06,238.67,1.923,3271,0.5,0,0.52
3.38E+06,238.67,1.9229,3312,0.5,0,0.52
3.47E+06,238.67,1.9276,3289,0.5,0,0.52
3.54E+06,238.67,1.9254,3341,0.5,0,0.52
3.55E+06,238.67,1.911,3306,0.5,0,0.52
3.41E+06,238.67,1.9124,3274,0.5,0,0.52
3.47E+06,238.67,1.9111,3349,0.5,0,0.52
3.57E+06,238.67,1.9118,3295,0.5,0,0.52
3.42E+06,238.67,1.9193,3242,0.5,0,0.52
3.42E+06,238.67,1.9179,3252,0.5,0,0.52
3.48E+06,238.67,1.9153,3317,0.5,0,0.52
3.53E+06,238.67,1.9212,3263,0.5,0,0.52
3.52E+06,238.67,1.9281,3268,0.5,0,0.52
3.48E+06,238.67,1.9341,3277,0.5,0,0.52
3.57E+06,238.67,1.912,3296,0.5,0,0.52
3.50E+06,238.67,1.9075,3240,0.5,0,0.52
3.45E+06,238.67,1.9031,3317,0.5,0,0.52
3.44E+06,238.67,1.9041,3312,0.5,0,0.52
3.41E+06,238.67,1.9001,3336,0.5,0,0.52
3.47E+06,238.67,1.9168,3306,0.5,0,0.52
3.55E+06,238.67,1.9047,3295,0.5,0,0.52
3.43E+06,238.67,1.9022,3277,0.5,0,0.52
3.40E+06,238.67,1.9006,3267,0.5,0,0.52
3.39E+06,238.67,1.9146,3211,0.5,0,0.52
3.41E+06,238.67,1.926,3140,0.5,0,0.52
3.34E+06,238.67,1.9286,3183,0.5,0,0.52
3.32E+06,238.67,1.9259,3186,0.5,0,0.52
3.31E+06,238.67,1.9163,3180,0.5,0,0.52
3.36E+06,238.67,1.9176,3207,0.5,0,0.52
3.42E+06,238.67,1.9219,3177,0.5,0,0.52
3.42E+06,238.67,1.9163,3186,0.5,0,0.52
3.36E+06,238.67,1.9129,3215,0.5,0,0.52
3.41E+06,238.67,1.9154,3144,0.5,0,0.52
3.29E+06,238.67,1.9157,3102,0.5,0,0.52
